April 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Zuidvliet (1914),s.s. Koningin Wilhelmina,Prinses Irene,Prins Willem I (1933),Oosterschelde (1933)
01-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
02-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
03-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
04-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
05-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
06-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
07-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
08-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
09-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
10-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
11-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
12-04-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Werf
