Augustus 1946,Koningin Wilhelmina (1927),Lekstroom,Koningsplaat,Dordrecht (1933),Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw,Prins Willem I (1933),Oosterschelde (1933)
01-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
02-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
03-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
04-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
05-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
06-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
07-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
08-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
09-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
10-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
11-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
12-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
13-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
14-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
15-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
16-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
17-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
18-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
19-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
20-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
21-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
22-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
23-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
24-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
25-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werf,Werf
26-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
27-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
28-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
29-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
30-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
31-08-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Terneuzen-Hoedekenskerke,Werkplaats,Werf,Werf
