December 1946,Koningin Wilhelmina (1927),Oosterschelde (1933),Prins Willem I (1933),Dordrecht (1933),Koningsplaat,Prinses Irene,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Zeemeeuw
01-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
11-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
12-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
13-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
14-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
15-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
