Februari 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Juliana,Rival,Maria,s.s. Koningin Wilhelmina,Z.Z. 7,Z.Z. 13,Prins Willem I (1933),Oosterschelde (1933)
01-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,Zierikzee-Katseveer,,Werf,Werf
02-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
03-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
04-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
05-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
06-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
07-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
08-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
09-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
10-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
11-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
12-02-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
13-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
14-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
15-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
16-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
17-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
18-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Werkplaats,,Zierikzee-Katseveer,Werf,Werf
19-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Werkplaats,,Zierikzee-Katseveer,Werf,Werf
20-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
21-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
22-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
23-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
24-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
25-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
26-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
27-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
28-02-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,,,Werf,Werf
