Januari 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Juliana,Rival,Maria,s.s. Koningin Wilhelmina,Z.Z. 13
01-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
02-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
03-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
04-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
05-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
06-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
07-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
08-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
09-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
10-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
11-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
12-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
13-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
14-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
15-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
16-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
17-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
18-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
19-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
20-01-1946,Werkplaats,Kruiningen-Perkpolder,Werf,Werf,Vlissingen-Breskens,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Middelburg-Vlissingen,Middelburg-Vlissingen,Zierikzee-Katseveer,
