Juli 1946,Koningin Wilhelmina (1927),Lekstroom,Koningsplaat,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Juliana,Zeemeeuw,Dordrecht (1933),Prinses Irene,Prins Willem I (1933),Oosterschelde (1933)
01-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werf,Werf
02-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werf,Werf
03-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werf,Werf
04-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werf,Werf
05-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
06-07-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
07-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
08-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
09-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
10-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werkplaats,Veere-Kamperland,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
11-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werkplaats,Veere-Kamperland,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
12-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
13-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
14-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
15-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
16-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
17-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
18-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
19-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
20-07-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
