Juni 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw,Dordrecht (1933),Prins Willem I (1933),Oosterschelde (1933)
01-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
02-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
03-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
04-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
05-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
06-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
07-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
08-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
09-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
10-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
11-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
12-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
13-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
14-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
15-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
16-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
17-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
18-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
19-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
20-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
21-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
22-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
23-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
24-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
25-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
26-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
27-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
28-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
29-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
30-06-1946,Kruiningen-Perkpolder,Zierikzee-Katseveer,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Werf,Werf
,,,,,,,,,,Werf,Werf
