Maart 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Zuidvliet (1914),s.s. Koningin Wilhelmina,Prinses Irene,Z.Z. 13,Zeelandia,Prins Willem I (1933),Oosterschelde (1933)
01-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
02-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
03-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
04-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
05-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
06-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Zierikzee-Katseveer,,Werf,Werf
07-03-1946,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Zierikzee-Katseveer,,Werf,Werf
08-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Zierikzee-Katseveer,,Werf,Werf
09-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Zierikzee-Katseveer,,Werf,Werf
10-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,,Zierikzee-Katseveer,Werf,Werf
11-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
12-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
13-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
14-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
15-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
16-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
17-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
18-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
19-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
20-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
21-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
22-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
23-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
24-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
25-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
26-03-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,,Werf,Werf
