Mei 1946,Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Zuidvliet (1914),s.s. Koningin Wilhelmina,Prinses Irene,Zeemeeuw,Prins Willem I (1933),Oosterschelde (1933)
01-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
02-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
03-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
04-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
05-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
06-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
07-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
08-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
09-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
10-05-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,,Werf,Werf
