November 1946,Koningin Wilhelmina (1927),Dordrecht (1933),Prins Willem I (1933),Oosterschelde (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Prinses Irene,Koningin Emma (1933),Zuidvliet (1914),Zeemeeuw
01-11-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
02-11-1946,Werkplaats,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
03-11-1946,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
04-11-1946,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
05-11-1946,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
06-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
07-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
08-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
09-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
10-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
