Oktober 1946,Koningin Wilhelmina (1927),Oosterschelde (1933),Prins Willem I (1933),Dordrecht (1933),Koningsplaat,Prinses Irene,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Zeemeeuw,Lekstroom
01-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Kortgene-Wolphaartsdijk
02-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Kortgene-Wolphaartsdijk
03-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Kortgene-Wolphaartsdijk
04-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Kortgene-Wolphaartsdijk
05-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Kortgene-Wolphaartsdijk
06-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
07-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
08-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
09-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
10-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
11-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
12-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
13-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
14-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
15-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
16-10-1946,Kruiningen-Perkpolder,Werf,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
17-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
18-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
19-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
21-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
22-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
23-10-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
24-10-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
25-10-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
26-10-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
27-10-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
28-10-1946,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
