September 1946,Koningin Wilhelmina (1927),Lekstroom,Koningsplaat,Dordrecht (1933),Prins Willem I (1933),Koningin Emma (1933),Zuidvliet (1914),Zandkreek (1926),Prinses Irene,Zeemeeuw,Oosterschelde (1933)
01-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
02-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
03-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
04-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
05-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
06-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
07-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
08-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
09-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
10-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
11-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
12-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
13-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
14-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
15-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
16-09-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Werkplaats,Werf
17-09-1946,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Werf
18-09-1946,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Werf
19-09-1946,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Veere-Kamperland,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Werf
20-09-1946,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Werf
21-09-1946,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Werf
