April 1947,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Koningin Emma (1933),Prinses Irene,Zandkreek (1926),Zuidvliet (1914),Koningsplaat,Zeemeeuw
01-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
02-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
03-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
04-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
05-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
06-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
07-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
08-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
09-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
10-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
11-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
12-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
13-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
