December 1947,Prins Willem I (1933),Oosterschelde (1933),Dordrecht (1933),Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Zandkreek (1926),Gorinchem,Zuidvliet (1914),Juliana,Prinses Irene,Zeemeeuw
01-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
02-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
03-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
04-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
05-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
06-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
07-12-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
08-12-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
09-12-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
10-12-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Werkplaats,Werkplaats
11-12-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats
