Januari 1947,Koningin Wilhelmina (1927),Oosterschelde (1933),Prins Willem I (1933),Prinses Irene,Koningin Emma (1933),Dordrecht (1933),Koningsplaat,Zandkreek (1926),Zuidvliet (1914),Zeemeeuw
01-01-1947,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-01-1947,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-01-1947,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
