Mei 1947,Prins Willem I (1933),Oosterschelde (1933),Dordrecht (1933),Koningin Wilhelmina (1927),Koningsplaat,Prinses Irene,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Zeemeeuw
01-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-05-1947,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
11-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
12-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
13-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
14-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
15-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
16-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
17-05-1947,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
