November 1947,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Prinses Irene,Koningsplaat,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Zeemeeuw
01-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
02-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
03-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
04-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
05-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
06-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
07-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
08-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
09-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
10-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
11-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
12-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
13-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
14-11-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
