Oktober 1947,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Koningsplaat,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw,Dordrecht (1933)
01-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
02-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
03-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
04-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
05-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
06-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
07-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
08-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
09-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
10-10-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats
