April 1948,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Willemsdorp (1930),Koningin Emma (1933),Koningsplaat,Prinses Irene,Zandkreek (1926),Zuidvliet (1914),Zeemeeuw
01-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-04-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
