November 1948,Oosterschelde (1933),Dordrecht (1933),Prins Willem I (1933),Moerdijk (1928),Koningin Emma (1933),Koningsplaat,Koningin Wilhelmina (1927),Willemsdorp (1930),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Zeemeeuw,Juliana
01-12-1948,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
02-12-1948,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
03-12-1948,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
04-12-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
05-12-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
06-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
07-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
08-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
09-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
10-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
11-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
12-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
13-12-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
14-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
15-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
16-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
17-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
18-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
19-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
20-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
21-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats
22-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,
23-12-1948,Werkplaats,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,
