Juni 1948,Prins Willem I (1933),Oosterschelde (1933),Prinses Irene,Koningsplaat,Westkapelle,Rammekens,Koningin Wilhelmina (1927),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932)
01-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-06-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Vlissingen-Breskens,,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
