Mei 1948,Prins Willem I (1933),Oosterschelde (1933),Prinses Irene,Koningsplaat,Koningin Wilhelmina (1927),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw,Koningin Emma (1933),Berrevoets,Zandkreek (1926),Zuidvliet (1914)
01-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
02-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
03-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
04-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
05-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
06-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
07-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
08-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
09-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
10-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
11-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
12-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
13-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
14-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
15-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
16-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
17-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
18-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
19-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
20-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
21-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
22-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
23-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
24-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
25-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
26-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
27-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
28-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
29-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
30-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland
31-05-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,,Kortgene-Wolphaartsdijk,Veere-Kamperland
