Oktober 1948,Oosterschelde (1933),Dordrecht (1933),Prinses Irene,Koningin Emma (1933),Koningin Wilhelmina (1927),Prins Hendrik (1932),Willemsdorp (1930),Zeemeeuw,Prins Willem I (1933),Zandkreek (1926),Zuidvliet (1914),Juliana
01-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
11-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
12-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
13-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
14-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
15-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
16-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
17-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
18-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
19-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
20-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
21-10-1948,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
