April 1949,Koningin Wilhelmina (1927),Prins Willem I (1933),Koningsplaat,Koningin Emma (1933),Dordrecht (1933),Moerdijk (1928),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Koningin Juliana (1949),Prins Hendrik (1932),Prinses Irene,Willemsdorp (1930),Zeemeeuw
01-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
02-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
03-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
04-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
05-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
06-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
07-04-1949,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
08-04-1949,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
09-04-1949,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
10-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
11-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
12-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
13-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
14-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
15-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
16-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
17-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
18-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
19-04-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Werkplaats,Binnen
