Augustus 1949,Koningin Juliana (1949),Dordrecht (1933),Koningsplaat,Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Moerdijk (1928),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Zeemeeuw
01-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
02-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
03-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
04-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
05-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
06-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
07-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
08-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
09-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
10-08-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
