Februari 1949,Prins Willem I (1933),Moerdijk (1928),Koningsplaat,Dordrecht (1933),Koningin Emma (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Zeemeeuw
01-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
02-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
03-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
04-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
05-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
06-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
07-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
08-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
09-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
10-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
11-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
12-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
13-02-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
