Januari 1949,Prins Willem I (1933),Moerdijk (1928),Koningsplaat,Koningin Emma (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Dordrecht (1933),Zeemeeuw
01-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
02-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
03-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
04-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
05-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
06-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
07-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
08-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
09-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
10-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
11-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
12-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
13-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
14-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
15-01-1949,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen
