Juli 1949,Koningin Juliana (1949),Prins Willem I (1933),Willemsdorp (1930),Dordrecht (1933),Koningin Emma (1933),Moerdijk (1928),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prinses Irene,Zeemeeuw,Koningsplaat
01-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
02-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
03-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
04-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
05-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
06-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
07-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
08-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
09-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
10-07-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen,Binnen
