Juni 1949,Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Willem I (1933),Koningin Emma (1933),Dordrecht (1933),Moerdijk (1928),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Prins Hendrik (1932),Willemsdorp (1930),Koningsplaat,Zeemeeuw
01-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
02-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
03-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
04-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
05-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
06-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
07-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
08-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
09-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
10-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
11-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
12-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
13-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
14-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
15-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
16-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
17-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
18-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
19-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
20-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
21-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
22-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
23-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
24-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
25-06-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Werkplaats,Binnen,Binnen
26-06-1949,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
27-06-1949,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
28-06-1949,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
