Mei 1949,Koningin Wilhelmina (1927),Prins Willem I (1933),Koningin Juliana (1949),Koningin Emma (1933),Dordrecht (1933),Moerdijk (1928),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Koningsplaat,Zeemeeuw,Willemsdorp (1930)
01-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
02-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
03-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
04-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
05-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
06-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
07-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
08-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
09-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
10-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
11-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
12-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
13-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
14-05-1949,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
15-05-1949,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen,Binnen,Werkplaats
