Oktober 1949,Koningin Juliana (1949),Koningsplaat,Moerdijk (1928),Dordrecht (1933),Prins Willem I (1933),Koningin Emma (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Gorinchem,Zuidvliet (1914),Juliana,Prins Hendrik (1932),Prinses Irene,Zeemeeuw
01-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Binnen,Binnen,Binnen
02-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Binnen,Binnen,Binnen
03-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,,Binnen,Binnen,Binnen
04-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
05-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
06-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
07-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
08-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
09-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
10-10-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen
