September 1949,Koningin Juliana (1949),Koningsplaat,Dordrecht (1933),Moerdijk (1928),Prins Willem I (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Koningin Emma (1933),Prinses Irene,Prins Hendrik (1932),Zeemeeuw
01-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
02-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
03-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
04-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
05-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
06-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
07-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
08-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
09-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
10-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
11-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
12-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
13-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
14-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
15-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
16-09-1949,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Binnen
