April 1950,Koningin Juliana (1949),Koningin Emma (1933),Prins Willem I (1933),Prins Hendrik (1932),Willemsdorp (1930),Dordrecht (1933),Koningin Wilhelmina (1927),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Koningsplaat,Prins Bernhard (1950),Zeemeeuw
01-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
02-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
03-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
04-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
05-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
06-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
07-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
08-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
09-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
10-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
11-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Reserve Vlissingen-Breskens,Binnen,Binnen
12-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
13-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
14-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
15-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
16-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
17-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
18-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
19-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
20-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
21-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
22-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
23-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
24-04-1950,Werkplaats,Terneuzen-Hoedekenskerke,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Vlissingen-Breskens,Binnen,Binnen
25-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
26-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
27-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
28-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
29-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
30-04-1950,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Werkplaats,Binnen,Binnen
