Juli 1950,Prins Bernhard (1950),Koningin Juliana (1949),Prins Willem I (1933),Koningin Emma (1933),Prinses Irene,Prins Hendrik (1932),Dordrecht (1933),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Koningin Wilhelmina (1927),Zeemeeuw
01-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
02-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
03-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
04-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
05-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
06-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
07-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
08-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
09-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
10-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
11-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
12-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
13-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
14-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
15-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
16-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
17-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
18-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
19-07-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Binnen,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen
