Juni 1950,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Emma (1933),Prins Willem I (1933),Prins Hendrik (1932),Dordrecht (1933),Willemsdorp (1930),Koningin Wilhelmina (1927),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw
01-06-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
02-06-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
03-06-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
04-06-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
05-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
06-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
07-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
08-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
09-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
10-06-1950,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
