Mei 1950,Koningin Juliana (1949),Prins Bernhard (1950),Koningin Emma (1933),Koningin Wilhelmina (1927),Prins Hendrik (1932),Dordrecht (1933),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Willem I (1933),Prinses Irene,Zeemeeuw,Koningsplaat
01-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
02-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
03-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
04-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
05-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
06-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
07-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
08-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
09-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
10-05-1950,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
