November 1950,Prins Bernhard (1950),Koningin Wilhelmina (1927),Prins Hendrik (1932),Dordrecht (1933),Willemsdorp (1930),Koningin Emma (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Koningin Juliana (1949),Prins Willem I (1933),Zeemeeuw
01-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
02-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
03-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
04-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
05-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
06-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
07-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
08-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
09-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
10-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
11-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
12-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
13-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
14-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
15-11-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
16-11-1950,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
17-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen
18-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen
19-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen
20-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen
21-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
22-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
23-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
24-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
25-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
26-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
27-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
28-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
29-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
30-11-1950,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
