Oktober 1950,Prins Bernhard (1950),Koningin Juliana (1949),Prins Willem I (1933),Koningin Emma (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Prins Hendrik (1932),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Willemsdorp (1930),Prinses Irene,Zeemeeuw
01-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
02-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
03-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
04-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
05-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
06-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
07-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
08-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
09-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
10-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
11-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
12-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
13-10-1950,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
14-10-1950,Vlissingen-Breskens,Speciale vaart,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
15-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
16-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
17-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
18-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
19-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
20-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
21-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
22-10-1950,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
