April 1951,Koningin Juliana (1949),Prinses Irene,Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Prins Hendrik (1932),Willemsdorp (1930),Zandkreek (1926),Zuidvliet (1914),Prins Bernhard (1950),Koningin Wilhelmina (1927),Zeemeeuw
01-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
02-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
03-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
04-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
05-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
06-04-1951,Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
07-04-1951,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
08-04-1951,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
09-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
10-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
11-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
12-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
13-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
14-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
15-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
16-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
17-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
18-04-1951,Vlissingen-Breskens,Binnen,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
