Februari 1951,Koningin Wilhelmina (1927),Koningin Juliana (1949),Koningin Emma (1933),Prins Hendrik (1932),Willemsdorp (1930),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Gorinchem,Zuidvliet (1914),Prins Bernhard (1950),Prinses Irene,Zeemeeuw
01-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
02-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
03-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
04-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
05-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
06-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
07-02-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,,Veere-Kamperland,Werkplaats,Vlissingen-Breskens,Binnen
08-02-1951,Kruiningen-Perkpolder,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
09-02-1951,Kruiningen-Perkpolder,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
10-02-1951,Kruiningen-Perkpolder,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen
