Mei 1951,Koningin Juliana (1949),Prins Bernhard (1950),Prins Willem I (1933),Koningin Emma (1933),Prins Hendrik (1932),Koningin Wilhelmina (1927),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Zeemeeuw
01-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
02-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
03-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
04-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
05-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
06-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
07-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
08-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
09-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
10-05-1951,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
11-05-1951,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen
