April 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Robbeplaat,Prinseplaat,Noord-Beveland (1952),Zuidvliet (1914),Willemsdorp (1930),Dordrecht (1933),Zeemeeuw
01-04-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
02-04-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
03-04-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
04-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
05-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
06-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
07-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
08-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
09-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
10-04-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
