Augustus 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
02-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
03-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
04-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
05-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
06-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Ligplaats Vlissingen,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
07-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
08-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
09-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
10-08-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Binnen
