December 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Oosterschelde (1933),Prins Willem I (1933),Nassau,Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Overbrenging,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
02-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
03-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
04-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
05-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
06-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
07-12-1953,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
08-12-1953,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
09-12-1953,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
10-12-1953,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
11-12-1953,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats,Werf
