Februari 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Willemsdorp (1930),Noord-Beveland (1952),Zuidvliet (1914),Zandkreek (1926),Dordrecht (1933),Zeemeeuw
01-02-1953,Gestaakt,Binnen,Ligplaats Perkpolder,Binnen,Gestaakt,Binnen,Ligplaats Zierikzee,Aan de grond,Gestaakt,Gestaakt,Binnen,Binnen,Binnen
02-02-1953,Vlissingen-Breskens,Binnen,Speciale vaart,Binnen,Vlissingen-Breskens,Binnen,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
03-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Binnen,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
04-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Binnen,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
05-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Overbrenging,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
06-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Zierikzee-Dordrecht,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
07-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Dordrecht,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
08-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Dordrecht,Gevorderd door burgemeester Zierikzee,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
09-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
10-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Zierikzee-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
11-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
12-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
13-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
14-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
15-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
16-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
17-02-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Zierikzee-Katseveer,Aan de grond,Kortgene-Katseveer,Veere-Kamperland,Binnen,Binnen,Binnen
