Januari 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Willemsdorp (1930),Noord-Beveland (1952),Zuidvliet (1914),Zandkreek (1926),Dordrecht (1933),Zeemeeuw
01-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
02-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
03-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
04-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
05-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
06-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
07-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
08-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
09-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Binnen,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
10-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
11-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
12-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
13-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
14-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
15-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
16-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
17-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
18-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
19-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
20-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
21-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
22-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
23-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
24-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
25-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
26-01-1953,Vlissingen-Breskens,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
27-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
28-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
29-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
30-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
31-01-1953,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
