Juli 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Robbeplaat,Prins Willem I (1933),Oosterschelde (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Prinseplaat,Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
02-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,Werkplaats,Werkplaats,Werkplaats,Binnen
03-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,Overbrenging,Werkplaats,Werkplaats,Binnen
04-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
05-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
06-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
07-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
08-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
09-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Speciale vaart,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
10-07-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Anna Jacobapolder,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
