Juni 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Robbeplaat,Prinseplaat,Noord-Beveland (1952),Zuidvliet (1914),Vondelingenplaat,Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Ligplaats Vlissingen,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Overbrenging,Werkplaats,Werkplaats,Binnen
02-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
03-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
04-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
05-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
06-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
07-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
08-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
09-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
10-06-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Anna Jacobapolder,,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
