Maart 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Robbeplaat,Noord-Beveland (1952),Zuidvliet (1914),Prinseplaat,Zandkreek (1926),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-03-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Binnen,,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
02-03-1953,Vlissingen-Breskens,Binnen,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Katseveer-Dordrecht,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
03-03-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Werf,Katseveer-Dordrecht,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
04-03-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
05-03-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Katseveer-Dordrecht,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
06-03-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Werkplaats,Katseveer-Dordrecht,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
07-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
08-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
09-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
10-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
11-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
12-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
13-03-1953,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Binnen,Binnen,Binnen,Binnen
