Mei 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Robbeplaat,Prinseplaat,Noord-Beveland (1952),Zuidvliet (1914),Vondelingenplaat,Willemsdorp (1930),Dordrecht (1933),Zeemeeuw
01-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
02-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
03-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
04-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
05-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
06-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
07-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
08-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
09-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
10-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
11-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
12-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
13-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
14-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Anna Jacobapolder,Zierikzee-Katseveer,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
15-05-1953,Binnen,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Reserve Vlissingen-Breskens,Binnen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Ligplaats Zierikzee,Perkpolder-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,,Werkplaats,Werkplaats,Binnen
