November 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Nassau,Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Willemsdorp (1930),Dordrecht (1933),Zeemeeuw
01-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
02-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
03-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
04-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
05-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
06-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Speciale vaart,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
07-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Speciale vaart,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
08-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
09-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
10-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
11-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
12-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
13-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
14-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
15-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
16-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
17-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
18-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
19-11-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werf,Werf
