Oktober 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Oranje,Nassau,Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Willemsdorp (1930),Zeemeeuw,Dordrecht (1933)
01-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werf,Overbrenging,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
02-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
03-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
04-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
05-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
06-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
07-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
08-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
09-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
10-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
11-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
12-10-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Werf,Werkplaats
