September 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Oranje,Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
02-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
03-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
04-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
05-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
06-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
07-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
08-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
09-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
10-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
11-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
12-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
13-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
14-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
15-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
16-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
17-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
18-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
19-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
20-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
21-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
22-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
