April 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),IJsselland,Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-04-1954,Werf,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
02-04-1954,Werf,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
03-04-1954,Werf,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
04-04-1954,Werf,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
05-04-1954,Werf,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
06-04-1954,Werkplaats,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
07-04-1954,Werkplaats,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
08-04-1954,Werkplaats,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
09-04-1954,Werkplaats,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zijpe-Anna Jacobapolder,Werkplaats,Binnen
10-04-1954,Werkplaats,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Overbrenging,Werkplaats,Binnen
