Februari 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),Nassau,Prins Bernhard (Akkerman),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
02-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
03-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Overbrenging,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
04-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Speciale vaart,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
05-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
06-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
07-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
08-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
09-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
10-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
11-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werf,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
12-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
13-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
14-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
15-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
16-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
17-02-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
18-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
19-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
20-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
21-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
22-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
23-02-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
24-02-1954,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Overbrenging,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
25-02-1954,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Overbrenging,Werkplaats,Werkplaats,Binnen
26-02-1954,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Binnen
27-02-1954,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Binnen
28-02-1954,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Binnen
