Januari 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),Nassau,Prins Bernhard (Akkerman),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
02-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
03-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
04-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
05-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
06-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
07-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
08-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
09-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
10-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
11-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
12-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
13-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
14-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
15-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
16-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
17-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
18-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,,Werkplaats,Werkplaats,Binnen
19-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Overbrenging,Werkplaats,Werkplaats,Binnen
20-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
21-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
22-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
23-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
24-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
25-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
26-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
27-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Overbrenging,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
28-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Overbrenging,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
29-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
30-01-1954,Vlissingen-Breskens,Werkplaats,Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Werkplaats,Veere-Kamperland,Kortgene-Wolphaartsdijk,Perkpolder-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Werkplaats,Binnen
