Juli 1954,Koningin Juliana (1949),Prins Bernhard (1950),Koningin Wilhelmina (1927),Prins Hendrik (1932),Koningin Emma (1933),Oosterschelde (1933),Prins Willem I (1933),Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-07-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
02-07-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
03-07-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
04-07-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
05-07-1954,Vlissingen-Breskens,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
06-07-1954,Vlissingen-Breskens,Ligplaats Vlissingen,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
07-07-1954,Vlissingen-Breskens,Ligplaats Vlissingen,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
08-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
09-07-1954,Ligplaats Vlissingen,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
10-07-1954,Ligplaats Vlissingen,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
11-07-1954,Ligplaats Vlissingen,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
12-07-1954,Ligplaats Vlissingen,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
13-07-1954,Ligplaats Vlissingen,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
14-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
15-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
16-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
17-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
18-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
19-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
20-07-1954,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
