Mei 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
01-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
02-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
03-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
04-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
05-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
06-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
07-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
08-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
09-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
10-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
11-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
12-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
13-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
14-05-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werkplaats,Binnen
