November 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
02-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
03-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
04-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
05-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
06-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
07-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
08-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
09-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
10-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
11-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
12-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
13-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
14-11-1954,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
