Oktober 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Werkplaats,Veere-Kamperland,Werf,Kruiningen-Perkpolder
02-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Werkplaats,Veere-Kamperland,Werf,Kruiningen-Perkpolder
03-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Werkplaats,Veere-Kamperland,Werf,Kruiningen-Perkpolder
04-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
05-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
06-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
07-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
08-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
09-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
10-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
