April 1955,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Noord-Beveland (1952),Gorinchem,Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
02-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
03-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
04-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
05-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
06-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
07-04-1955,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
08-04-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Speciale vaart,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
09-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
10-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
11-04-1955,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
12-04-1955,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
13-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
14-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Speciale vaart,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
15-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
16-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
17-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
18-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
19-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
21-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
22-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
23-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
24-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
25-04-1955,Werkplaats,Vlissingen-Breskens,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
