Augustus 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Hendrik (1932),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Zandkreek (1926),Noord-Beveland (1952),Willemsdorp (1930),Dordrecht (1933),Gorinchem,Zuidvliet (1914)
01-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
02-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
03-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
04-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
05-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
06-08-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
07-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
08-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
09-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
10-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
11-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
12-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
13-08-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
