December 1955,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
02-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
03-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
04-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
05-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
06-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
07-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werf,Kruiningen-Perkpolder
08-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
09-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
10-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
11-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
12-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
13-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
14-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
15-12-1955,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
16-12-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
17-12-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
18-12-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
19-12-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Reserve Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
