Februari 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Hendrik (1932),Oosterschelde (1933),Prins Willem I (1933),Koningin Emma (1933),Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
02-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
03-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
04-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
05-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
06-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
07-02-1955,Werf,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
08-02-1955,Werkplaats,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
09-02-1955,Werkplaats,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
10-02-1955,Werkplaats,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
11-02-1955,Werkplaats,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
12-02-1955,Werkplaats,Vlissingen-Breskens,Binnen,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
13-02-1955,Werkplaats,Vlissingen-Breskens,Binnen,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
14-02-1955,Werkplaats,Vlissingen-Breskens,Binnen,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
15-02-1955,Werkplaats,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
16-02-1955,Werkplaats,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werkplaats
